행정구역,기간,인구수
전국  (0000000000),2015년01월_계_20~29세,"6,635,579"
서울특별시  (1100000000),2015년01월_계_20~29세,"1,455,881"
부산광역시  (2600000000),2015년01월_계_20~29세,"455,687"
대구광역시  (2700000000),2015년01월_계_20~29세,"323,766"
인천광역시  (2800000000),2015년01월_계_20~29세,"398,128"
광주광역시  (2900000000),2015년01월_계_20~29세,"197,694"
대전광역시  (3000000000),2015년01월_계_20~29세,"209,904"
울산광역시  (3100000000),2015년01월_계_20~29세,"156,331"
세종특별자치시  (3600000000),2015년01월_계_20~29세,"17,986"
경기도  (4100000000),2015년01월_계_20~29세,"1,608,280"
강원도  (4200000000),2015년01월_계_20~29세,"181,556"
충청북도  (4300000000),2015년01월_계_20~29세,"193,485"
충청남도  (4400000000),2015년01월_계_20~29세,"241,725"
전라북도  (4500000000),2015년01월_계_20~29세,"217,286"
전라남도  (4600000000),2015년01월_계_20~29세,"203,664"
경상북도  (4700000000),2015년01월_계_20~29세,"311,768"
경상남도  (4800000000),2015년01월_계_20~29세,"391,406"
제주특별자치도  (5000000000),2015년01월_계_20~29세,"71,032"
전국  (0000000000),2015년01월_계_30~39세,"7,795,491"
서울특별시  (1100000000),2015년01월_계_30~39세,"1,711,731"
부산광역시  (2600000000),2015년01월_계_30~39세,"503,003"
대구광역시  (2700000000),2015년01월_계_30~39세,"351,921"
인천광역시  (2800000000),2015년01월_계_30~39세,"460,586"
광주광역시  (2900000000),2015년01월_계_30~39세,"227,405"
대전광역시  (3000000000),2015년01월_계_30~39세,"236,980"
울산광역시  (3100000000),2015년01월_계_30~39세,"182,315"
세종특별자치시  (3600000000),2015년01월_계_30~39세,"28,963"
경기도  (4100000000),2015년01월_계_30~39세,"1,987,086"
강원도  (4200000000),2015년01월_계_30~39세,"193,755"
충청북도  (4300000000),2015년01월_계_30~39세,"220,076"
충청남도  (4400000000),2015년01월_계_30~39세,"300,571"
전라북도  (4500000000),2015년01월_계_30~39세,"238,520"
전라남도  (4600000000),2015년01월_계_30~39세,"227,388"
경상북도  (4700000000),2015년01월_계_30~39세,"354,785"
경상남도  (4800000000),2015년01월_계_30~39세,"485,616"
제주특별자치도  (5000000000),2015년01월_계_30~39세,"84,790"
전국  (0000000000),2015년01월_계_40~49세,"8,943,181"
서울특별시  (1100000000),2015년01월_계_40~49세,"1,731,908"
부산광역시  (2600000000),2015년01월_계_40~49세,"576,949"
대구광역시  (2700000000),2015년01월_계_40~49세,"446,314"
인천광역시  (2800000000),2015년01월_계_40~49세,"521,778"
광주광역시  (2900000000),2015년01월_계_40~49세,"260,740"
대전광역시  (3000000000),2015년01월_계_40~49세,"271,789"
울산광역시  (3100000000),2015년01월_계_40~49세,"216,456"
세종특별자치시  (3600000000),2015년01월_계_40~49세,"28,033"
경기도  (4100000000),2015년01월_계_40~49세,"2,307,441"
강원도  (4200000000),2015년01월_계_40~49세,"253,005"
충청북도  (4300000000),2015년01월_계_40~49세,"265,950"
충청남도  (4400000000),2015년01월_계_40~49세,"334,193"
전라북도  (4500000000),2015년01월_계_40~49세,"303,501"
전라남도  (4600000000),2015년01월_계_40~49세,"296,428"
경상북도  (4700000000),2015년01월_계_40~49세,"434,274"
경상남도  (4800000000),2015년01월_계_40~49세,"586,167"
제주특별자치도  (5000000000),2015년01월_계_40~49세,"108,255"
전국  (0000000000),2015년01월_계_50~59세,"8,217,775"
서울특별시  (1100000000),2015년01월_계_50~59세,"1,602,192"
부산광역시  (2600000000),2015년01월_계_50~59세,"628,752"
대구광역시  (2700000000),2015년01월_계_50~59세,"415,504"
인천광역시  (2800000000),2015년01월_계_50~59세,"483,080"
광주광역시  (2900000000),2015년01월_계_50~59세,"213,103"
대전광역시  (3000000000),2015년01월_계_50~59세,"237,693"
울산광역시  (3100000000),2015년01월_계_50~59세,"196,480"
세종특별자치시  (3600000000),2015년01월_계_50~59세,"21,123"
경기도  (4100000000),2015년01월_계_50~59세,"1,899,611"
강원도  (4200000000),2015년01월_계_50~59세,"267,339"
충청북도  (4300000000),2015년01월_계_50~59세,"255,394"
충청남도  (4400000000),2015년01월_계_50~59세,"314,151"
전라북도  (4500000000),2015년01월_계_50~59세,"292,757"
전라남도  (4600000000),2015년01월_계_50~59세,"304,069"
경상북도  (4700000000),2015년01월_계_50~59세,"451,346"
경상남도  (4800000000),2015년01월_계_50~59세,"542,938"
제주특별자치도  (5000000000),2015년01월_계_50~59세,"92,243"
전국  (0000000000),2015년01월_계_60~69세,"4,741,806"
서울특별시  (1100000000),2015년01월_계_60~69세,"987,402"
부산광역시  (2600000000),2015년01월_계_60~69세,"404,630"
대구광역시  (2700000000),2015년01월_계_60~69세,"237,304"
인천광역시  (2800000000),2015년01월_계_60~69세,"235,323"
광주광역시  (2900000000),2015년01월_계_60~69세,"120,489"
대전광역시  (3000000000),2015년01월_계_60~69세,"125,374"
울산광역시  (3100000000),2015년01월_계_60~69세,"91,394"
세종특별자치시  (3600000000),2015년01월_계_60~69세,"12,589"
경기도  (4100000000),2015년01월_계_60~69세,"945,724"
강원도  (4200000000),2015년01월_계_60~69세,"161,656"
충청북도  (4300000000),2015년01월_계_60~69세,"147,690"
충청남도  (4400000000),2015년01월_계_60~69세,"197,894"
전라북도  (4500000000),2015년01월_계_60~69세,"199,290"
전라남도  (4600000000),2015년01월_계_60~69세,"215,398"
경상북도  (4700000000),2015년01월_계_60~69세,"294,442"
경상남도  (4800000000),2015년01월_계_60~69세,"311,695"
제주특별자치도  (5000000000),2015년01월_계_60~69세,"53,512"
전국  (0000000000),2015년01월_계_70~79세,"3,150,148"
서울특별시  (1100000000),2015년01월_계_70~79세,"571,169"
부산광역시  (2600000000),2015년01월_계_70~79세,"236,220"
대구광역시  (2700000000),2015년01월_계_70~79세,"148,693"
인천광역시  (2800000000),2015년01월_계_70~79세,"138,925"
광주광역시  (2900000000),2015년01월_계_70~79세,"75,151"
대전광역시  (3000000000),2015년01월_계_70~79세,"75,084"
울산광역시  (3100000000),2015년01월_계_70~79세,"44,931"
세종특별자치시  (3600000000),2015년01월_계_70~79세,"9,717"
경기도  (4100000000),2015년01월_계_70~79세,"601,018"
강원도  (4200000000),2015년01월_계_70~79세,"130,204"
충청북도  (4300000000),2015년01월_계_70~79세,"115,274"
충청남도  (4400000000),2015년01월_계_70~79세,"163,406"
전라북도  (4500000000),2015년01월_계_70~79세,"156,925"
전라남도  (4600000000),2015년01월_계_70~79세,"192,124"
경상북도  (4700000000),2015년01월_계_70~79세,"234,472"
경상남도  (4800000000),2015년01월_계_70~79세,"218,371"
제주특별자치도  (5000000000),2015년01월_계_70~79세,"38,464"
전국  (0000000000),2015년01월_계_80~89세,"1,136,280"
서울특별시  (1100000000),2015년01월_계_80~89세,"179,180"
부산광역시  (2600000000),2015년01월_계_80~89세,"73,516"
대구광역시  (2700000000),2015년01월_계_80~89세,"49,190"
인천광역시  (2800000000),2015년01월_계_80~89세,"50,406"
광주광역시  (2900000000),2015년01월_계_80~89세,"26,476"
대전광역시  (3000000000),2015년01월_계_80~89세,"26,942"
울산광역시  (3100000000),2015년01월_계_80~89세,"15,005"
세종특별자치시  (3600000000),2015년01월_계_80~89세,"4,155"
경기도  (4100000000),2015년01월_계_80~89세,"213,049"
강원도  (4200000000),2015년01월_계_80~89세,"46,330"
충청북도  (4300000000),2015년01월_계_80~89세,"44,101"
충청남도  (4400000000),2015년01월_계_80~89세,"69,130"
전라북도  (4500000000),2015년01월_계_80~89세,"65,122"
전라남도  (4600000000),2015년01월_계_80~89세,"77,248"
경상북도  (4700000000),2015년01월_계_80~89세,"93,391"
경상남도  (4800000000),2015년01월_계_80~89세,"87,125"
제주특별자치도  (5000000000),2015년01월_계_80~89세,"15,914"
전국  (0000000000),2015년01월_계_90~99세,"156,671"
서울특별시  (1100000000),2015년01월_계_90~99세,"28,570"
부산광역시  (2600000000),2015년01월_계_90~99세,"8,856"
대구광역시  (2700000000),2015년01월_계_90~99세,"5,656"
인천광역시  (2800000000),2015년01월_계_90~99세,"7,517"
광주광역시  (2900000000),2015년01월_계_90~99세,"3,677"
대전광역시  (3000000000),2015년01월_계_90~99세,"3,715"
울산광역시  (3100000000),2015년01월_계_90~99세,"1,920"
세종특별자치시  (3600000000),2015년01월_계_90~99세,571
경기도  (4100000000),2015년01월_계_90~99세,"30,662"
강원도  (4200000000),2015년01월_계_90~99세,"7,069"
충청북도  (4300000000),2015년01월_계_90~99세,"5,591"
충청남도  (4400000000),2015년01월_계_90~99세,"8,894"
전라북도  (4500000000),2015년01월_계_90~99세,"8,538"
전라남도  (4600000000),2015년01월_계_90~99세,"10,582"
경상북도  (4700000000),2015년01월_계_90~99세,"11,836"
경상남도  (4800000000),2015년01월_계_90~99세,"9,905"
제주특별자치도  (5000000000),2015년01월_계_90~99세,"3,112"
전국  (0000000000),2015년01월_계_100세 이상,"15,180"
서울특별시  (1100000000),2015년01월_계_100세 이상,"4,724"
부산광역시  (2600000000),2015년01월_계_100세 이상,"1,415"
대구광역시  (2700000000),2015년01월_계_100세 이상,511
인천광역시  (2800000000),2015년01월_계_100세 이상,631
광주광역시  (2900000000),2015년01월_계_100세 이상,307
대전광역시  (3000000000),2015년01월_계_100세 이상,262
울산광역시  (3100000000),2015년01월_계_100세 이상,131
세종특별자치시  (3600000000),2015년01월_계_100세 이상,33
경기도  (4100000000),2015년01월_계_100세 이상,"2,796"
강원도  (4200000000),2015년01월_계_100세 이상,560
충청북도  (4300000000),2015년01월_계_100세 이상,401
충청남도  (4400000000),2015년01월_계_100세 이상,626
전라북도  (4500000000),2015년01월_계_100세 이상,605
전라남도  (4600000000),2015년01월_계_100세 이상,711
경상북도  (4700000000),2015년01월_계_100세 이상,703
경상남도  (4800000000),2015년01월_계_100세 이상,561
제주특별자치도  (5000000000),2015년01월_계_100세 이상,203
전국  (0000000000),2015년02월_계_총인구수,"51,360,454"
서울특별시  (1100000000),2015년02월_계_총인구수,"10,105,206"
부산광역시  (2600000000),2015년02월_계_총인구수,"3,517,939"
대구광역시  (2700000000),2015년02월_계_총인구수,"2,492,583"
인천광역시  (2800000000),2015년02월_계_총인구수,"2,906,603"
광주광역시  (2900000000),2015년02월_계_총인구수,"1,477,340"
대전광역시  (3000000000),2015년02월_계_총인구수,"1,529,431"
울산광역시  (3100000000),2015년02월_계_총인구수,"1,167,385"
세종특별자치시  (3600000000),2015년02월_계_총인구수,"169,762"
경기도  (4100000000),2015년02월_계_총인구수,"12,376,944"
강원도  (4200000000),2015년02월_계_총인구수,"1,542,918"
충청북도  (4300000000),2015년02월_계_총인구수,"1,578,253"
충청남도  (4400000000),2015년02월_계_총인구수,"2,062,924"
전라북도  (4500000000),2015년02월_계_총인구수,"1,870,728"
전라남도  (4600000000),2015년02월_계_총인구수,"1,903,220"
경상북도  (4700000000),2015년02월_계_총인구수,"2,698,469"
경상남도  (4800000000),2015년02월_계_총인구수,"3,351,137"
제주특별자치도  (5000000000),2015년02월_계_총인구수,"609,612"
전국  (0000000000),2015년02월_계_연령구간인구수,"51,360,454"
서울특별시  (1100000000),2015년02월_계_연령구간인구수,"10,105,206"
부산광역시  (2600000000),2015년02월_계_연령구간인구수,"3,517,939"
대구광역시  (2700000000),2015년02월_계_연령구간인구수,"2,492,583"
인천광역시  (2800000000),2015년02월_계_연령구간인구수,"2,906,603"
광주광역시  (2900000000),2015년02월_계_연령구간인구수,"1,477,340"
대전광역시  (3000000000),2015년02월_계_연령구간인구수,"1,529,431"
울산광역시  (3100000000),2015년02월_계_연령구간인구수,"1,167,385"
세종특별자치시  (3600000000),2015년02월_계_연령구간인구수,"169,762"
경기도  (4100000000),2015년02월_계_연령구간인구수,"12,376,944"
강원도  (4200000000),2015년02월_계_연령구간인구수,"1,542,918"
충청북도  (4300000000),2015년02월_계_연령구간인구수,"1,578,253"
충청남도  (4400000000),2015년02월_계_연령구간인구수,"2,062,924"
전라북도  (4500000000),2015년02월_계_연령구간인구수,"1,870,728"
전라남도  (4600000000),2015년02월_계_연령구간인구수,"1,903,220"
경상북도  (4700000000),2015년02월_계_연령구간인구수,"2,698,469"
경상남도  (4800000000),2015년02월_계_연령구간인구수,"3,351,137"
제주특별자치도  (5000000000),2015년02월_계_연령구간인구수,"609,612"
전국  (0000000000),2015년02월_계_0~9세,"4,587,440"
서울특별시  (1100000000),2015년02월_계_0~9세,"791,057"
부산광역시  (2600000000),2015년02월_계_0~9세,"264,053"
대구광역시  (2700000000),2015년02월_계_0~9세,"208,311"
인천광역시  (2800000000),2015년02월_계_0~9세,"270,207"
광주광역시  (2900000000),2015년02월_계_0~9세,"144,900"
대전광역시  (3000000000),2015년02월_계_0~9세,"147,691"
울산광역시  (3100000000),2015년02월_계_0~9세,"115,108"
세종특별자치시  (3600000000),2015년02월_계_0~9세,"22,394"
경기도  (4100000000),2015년02월_계_0~9세,"1,242,881"
강원도  (4200000000),2015년02월_계_0~9세,"123,987"
충청북도  (4300000000),2015년02월_계_0~9세,"142,349"
충청남도  (4400000000),2015년02월_계_0~9세,"195,945"
전라북도  (4500000000),2015년02월_계_0~9세,"160,856"
전라남도  (4600000000),2015년02월_계_0~9세,"157,045"
경상북도  (4700000000),2015년02월_계_0~9세,"222,384"
경상남도  (4800000000),2015년02월_계_0~9세,"316,314"
제주특별자치도  (5000000000),2015년02월_계_0~9세,"61,958"
전국  (0000000000),2015년02월_계_10~19세,"5,934,474"
서울특별시  (1100000000),2015년02월_계_10~19세,"1,034,669"
부산광역시  (2600000000),2015년02월_계_10~19세,"363,407"
대구광역시  (2700000000),2015년02월_계_10~19세,"303,672"
인천광역시  (2800000000),2015년02월_계_10~19세,"336,641"
광주광역시  (2900000000),2015년02월_계_10~19세,"205,598"
대전광역시  (3000000000),2015년02월_계_10~19세,"193,874"
울산광역시  (3100000000),2015년02월_계_10~19세,"146,342"
세종특별자치시  (3600000000),2015년02월_계_10~19세,"19,348"
경기도  (4100000000),2015년02월_계_10~19세,"1,521,377"
강원도  (4200000000),2015년02월_계_10~19세,"176,905"
충청북도  (4300000000),2015년02월_계_10~19세,"186,827"
충청남도  (4400000000),2015년02월_계_10~19세,"235,269"
전라북도  (4500000000),2015년02월_계_10~19세,"226,373"
전라남도  (4600000000),2015년02월_계_10~19세,"218,185"
경상북도  (4700000000),2015년02월_계_10~19세,"288,232"
경상남도  (4800000000),2015년02월_계_10~19세,"398,908"
제주특별자치도  (5000000000),2015년02월_계_10~19세,"78,847"
전국  (0000000000),2015년02월_계_20~29세,"6,625,368"
서울특별시  (1100000000),2015년02월_계_20~29세,"1,453,481"
부산광역시  (2600000000),2015년02월_계_20~29세,"454,757"
대구광역시  (2700000000),2015년02월_계_20~29세,"323,686"
인천광역시  (2800000000),2015년02월_계_20~29세,"397,988"
광주광역시  (2900000000),2015년02월_계_20~29세,"197,565"
대전광역시  (3000000000),2015년02월_계_20~29세,"209,572"
울산광역시  (3100000000),2015년02월_계_20~29세,"156,132"
세종특별자치시  (3600000000),2015년02월_계_20~29세,"18,424"
경기도  (4100000000),2015년02월_계_20~29세,"1,607,345"
강원도  (4200000000),2015년02월_계_20~29세,"181,364"
충청북도  (4300000000),2015년02월_계_20~29세,"193,173"
충청남도  (4400000000),2015년02월_계_20~29세,"240,630"
전라북도  (4500000000),2015년02월_계_20~29세,"216,520"
전라남도  (4600000000),2015년02월_계_20~29세,"202,719"
경상북도  (4700000000),2015년02월_계_20~29세,"310,457"
경상남도  (4800000000),2015년02월_계_20~29세,"390,403"
제주특별자치도  (5000000000),2015년02월_계_20~29세,"71,152"
전국  (0000000000),2015년02월_계_30~39세,"7,791,609"
서울특별시  (1100000000),2015년02월_계_30~39세,"1,711,170"
부산광역시  (2600000000),2015년02월_계_30~39세,"502,301"
대구광역시  (2700000000),2015년02월_계_30~39세,"351,262"
인천광역시  (2800000000),2015년02월_계_30~39세,"460,088"
광주광역시  (2900000000),2015년02월_계_30~39세,"227,470"
대전광역시  (3000000000),2015년02월_계_30~39세,"236,370"
울산광역시  (3100000000),2015년02월_계_30~39세,"182,247"
세종특별자치시  (3600000000),2015년02월_계_30~39세,"30,664"
경기도  (4100000000),2015년02월_계_30~39세,"1,986,461"
강원도  (4200000000),2015년02월_계_30~39세,"193,232"
충청북도  (4300000000),2015년02월_계_30~39세,"219,903"
충청남도  (4400000000),2015년02월_계_30~39세,"300,527"
전라북도  (4500000000),2015년02월_계_30~39세,"238,607"
전라남도  (4600000000),2015년02월_계_30~39세,"227,467"
경상북도  (4700000000),2015년02월_계_30~39세,"354,025"
경상남도  (4800000000),2015년02월_계_30~39세,"484,902"
제주특별자치도  (5000000000),2015년02월_계_30~39세,"84,913"
전국  (0000000000),2015년02월_계_40~49세,"8,938,586"
서울특별시  (1100000000),2015년02월_계_40~49세,"1,730,984"
부산광역시  (2600000000),2015년02월_계_40~49세,"576,597"
대구광역시  (2700000000),2015년02월_계_40~49세,"445,688"
인천광역시  (2800000000),2015년02월_계_40~49세,"521,207"
광주광역시  (2900000000),2015년02월_계_40~49세,"261,097"
대전광역시  (3000000000),2015년02월_계_40~49세,"271,111"
울산광역시  (3100000000),2015년02월_계_40~49세,"215,991"
세종특별자치시  (3600000000),2015년02월_계_40~49세,"29,806"
경기도  (4100000000),2015년02월_계_40~49세,"2,306,387"
강원도  (4200000000),2015년02월_계_40~49세,"252,643"
충청북도  (4300000000),2015년02월_계_40~49세,"265,312"
충청남도  (4400000000),2015년02월_계_40~49세,"333,627"
전라북도  (4500000000),2015년02월_계_40~49세,"303,349"
전라남도  (4600000000),2015년02월_계_40~49세,"296,337"
경상북도  (4700000000),2015년02월_계_40~49세,"434,181"
경상남도  (4800000000),2015년02월_계_40~49세,"585,706"
제주특별자치도  (5000000000),2015년02월_계_40~49세,"108,563"
전국  (0000000000),2015년02월_계_50~59세,"8,230,418"
서울특별시  (1100000000),2015년02월_계_50~59세,"1,602,445"
부산광역시  (2600000000),2015년02월_계_50~59세,"627,664"
대구광역시  (2700000000),2015년02월_계_50~59세,"415,982"
인천광역시  (2800000000),2015년02월_계_50~59세,"484,585"
광주광역시  (2900000000),2015년02월_계_50~59세,"213,467"
대전광역시  (3000000000),2015년02월_계_50~59세,"238,014"
울산광역시  (3100000000),2015년02월_계_50~59세,"196,906"
세종특별자치시  (3600000000),2015년02월_계_50~59세,"21,653"
경기도  (4100000000),2015년02월_계_50~59세,"1,906,769"
강원도  (4200000000),2015년02월_계_50~59세,"267,242"
충청북도  (4300000000),2015년02월_계_50~59세,"255,991"
충청남도  (4400000000),2015년02월_계_50~59세,"314,953"
전라북도  (4500000000),2015년02월_계_50~59세,"292,951"
전라남도  (4600000000),2015년02월_계_50~59세,"304,139"
경상북도  (4700000000),2015년02월_계_50~59세,"451,475"
경상남도  (4800000000),2015년02월_계_50~59세,"543,718"
제주특별자치도  (5000000000),2015년02월_계_50~59세,"92,464"
전국  (0000000000),2015년02월_계_60~69세,"4,777,411"
서울특별시  (1100000000),2015년02월_계_60~69세,"993,936"
부산광역시  (2600000000),2015년02월_계_60~69세,"407,571"
대구광역시  (2700000000),2015년02월_계_60~69세,"239,124"
인천광역시  (2800000000),2015년02월_계_60~69세,"237,504"
광주광역시  (2900000000),2015년02월_계_60~69세,"121,287"
대전광역시  (3000000000),2015년02월_계_60~69세,"126,375"
울산광역시  (3100000000),2015년02월_계_60~69세,"92,348"
세종특별자치시  (3600000000),2015년02월_계_60~69세,"12,874"
경기도  (4100000000),2015년02월_계_60~69세,"954,087"
강원도  (4200000000),2015년02월_계_60~69세,"162,725"
충청북도  (4300000000),2015년02월_계_60~69세,"148,816"
충청남도  (4400000000),2015년02월_계_60~69세,"199,427"
전라북도  (4500000000),2015년02월_계_60~69세,"200,547"
전라남도  (4600000000),2015년02월_계_60~69세,"216,173"
경상북도  (4700000000),2015년02월_계_60~69세,"296,475"
경상남도  (4800000000),2015년02월_계_60~69세,"314,255"
제주특별자치도  (5000000000),2015년02월_계_60~69세,"53,887"
전국  (0000000000),2015년02월_계_70~79세,"3,153,737"
서울특별시  (1100000000),2015년02월_계_70~79세,"572,819"
부산광역시  (2600000000),2015년02월_계_70~79세,"236,932"
대구광역시  (2700000000),2015년02월_계_70~79세,"148,892"
인천광역시  (2800000000),2015년02월_계_70~79세,"139,282"
광주광역시  (2900000000),2015년02월_계_70~79세,"75,228"
대전광역시  (3000000000),2015년02월_계_70~79세,"75,220"
울산광역시  (3100000000),2015년02월_계_70~79세,"45,099"
세종특별자치시  (3600000000),2015년02월_계_70~79세,"9,787"
경기도  (4100000000),2015년02월_계_70~79세,"602,423"
강원도  (4200000000),2015년02월_계_70~79세,"130,447"
충청북도  (4300000000),2015년02월_계_70~79세,"115,236"
충청남도  (4400000000),2015년02월_계_70~79세,"163,042"
전라북도  (4500000000),2015년02월_계_70~79세,"156,577"
전라남도  (4600000000),2015년02월_계_70~79세,"191,666"
경상북도  (4700000000),2015년02월_계_70~79세,"234,211"
경상남도  (4800000000),2015년02월_계_70~79세,"218,404"
제주특별자치도  (5000000000),2015년02월_계_70~79세,"38,472"
전국  (0000000000),2015년02월_계_80~89세,"1,147,933"
서울특별시  (1100000000),2015년02월_계_80~89세,"181,044"
부산광역시  (2600000000),2015년02월_계_80~89세,"74,266"
대구광역시  (2700000000),2015년02월_계_80~89세,"49,740"
인천광역시  (2800000000),2015년02월_계_80~89세,"50,872"
광주광역시  (2900000000),2015년02월_계_80~89세,"26,729"
대전광역시  (3000000000),2015년02월_계_80~89세,"27,199"
울산광역시  (3100000000),2015년02월_계_80~89세,"15,136"
세종특별자치시  (3600000000),2015년02월_계_80~89세,"4,206"
경기도  (4100000000),2015년02월_계_80~89세,"215,404"
강원도  (4200000000),2015년02월_계_80~89세,"46,666"
충청북도  (4300000000),2015년02월_계_80~89세,"44,617"
충청남도  (4400000000),2015년02월_계_80~89세,"69,895"
전라북도  (4500000000),2015년02월_계_80~89세,"65,770"
전라남도  (4600000000),2015년02월_계_80~89세,"78,147"
경상북도  (4700000000),2015년02월_계_80~89세,"94,313"
경상남도  (4800000000),2015년02월_계_80~89세,"87,894"
제주특별자치도  (5000000000),2015년02월_계_80~89세,"16,035"
전국  (0000000000),2015년02월_계_90~99세,"158,200"
서울특별시  (1100000000),2015년02월_계_90~99세,"28,829"
부산광역시  (2600000000),2015년02월_계_90~99세,"8,966"
대구광역시  (2700000000),2015년02월_계_90~99세,"5,712"
인천광역시  (2800000000),2015년02월_계_90~99세,"7,593"
광주광역시  (2900000000),2015년02월_계_90~99세,"3,691"
대전광역시  (3000000000),2015년02월_계_90~99세,"3,744"
울산광역시  (3100000000),2015년02월_계_90~99세,"1,949"
세종특별자치시  (3600000000),2015년02월_계_90~99세,575
경기도  (4100000000),2015년02월_계_90~99세,"30,989"
강원도  (4200000000),2015년02월_계_90~99세,"7,136"
충청북도  (4300000000),2015년02월_계_90~99세,"5,629"
충청남도  (4400000000),2015년02월_계_90~99세,"8,983"
전라북도  (4500000000),2015년02월_계_90~99세,"8,572"
전라남도  (4600000000),2015년02월_계_90~99세,"10,624"
경상북도  (4700000000),2015년02월_계_90~99세,"12,017"
경상남도  (4800000000),2015년02월_계_90~99세,"10,070"
